SigMean,SigMedian,SigRMS,SigVar,SigPeak,SigPeak2Peak,SigSkewness,SigKurtosis,SigCrestFactor,SigMAD,SigRangeCumSum,SigCorrDimension,SigApproxEntropy,SigLyapExponent,PeakFreq,HighFreqPower,EnvPower,PeakSpecKurtosis,No Sensor Drift,Sensor Drift,No Shaft Wear,Shaft Wear,GearToothCondition
-0.948761117,-0.972196239,1.372583221,0.983869722,0.815714733,3.631427257,-0.041524638,2.26663989,2.051396578,0.808100451,28562.37855,1.14289442,0.031580755,79.93092689,0,6.75E-06,3.23E-07,162.1284498,0,1,1,0,1
-0.975373294,-0.98957804,1.39369104,0.991054543,0.81571023,3.631419193,-0.023777093,2.25979921,2.020325081,0.810167974,29418.37131,1.136212486,0.037835147,70.32519782,0,5.08E-08,9.16E-08,226.1211588,0,1,1,0,1
1.050228641,1.026695565,1.444941437,0.984908259,2.815713297,3.631428166,-0.041620002,2.265830662,1.948669493,0.80852877,31710.49011,1.147927218,0.031564831,125.1873163,0,6.74E-06,2.85E-07,162.1258603,0,1,0,1,1
1.022692304,1.00449254,1.428775978,0.99553429,2.815708502,3.63142414,-0.01635638,2.248298561,1.970713776,0.813242927,30983.96906,1.147173176,0.032088444,112.4981662,0,4.99E-06,2.40E-07,162.1276915,0,1,0,1,1
1.012303329,1.002365712,1.420229505,0.992326739,2.815716099,3.631431887,-0.014700557,2.254228778,1.98257823,0.811555822,30660.81395,1.146859447,0.032869741,108.8568488,0,3.62E-06,2.28E-07,230.3912261,0,1,0,1,1
1.027494691,1.010153251,1.433825791,1.00014426,2.815716104,3.631432159,-0.026590041,2.243921616,1.963778391,0.815886566,31102.3997,1.098461111,0.033426809,64.57589399,0,2.55E-06,1.65E-07,230.3906685,0,1,0,1,1
1.046358504,1.027466797,1.447748777,1.001143597,2.815706679,3.631421772,-0.042849219,2.245549007,1.944886242,0.815946459,31665.164,1.141704413,0.034159397,98.83781823,0,1.73E-06,1.55E-07,230.3869567,0,1,0,1,1
1.045888085,1.025711097,1.44024885,0.980467411,2.815714696,3.63142102,-0.035405143,2.275683199,1.955019576,0.805832955,31553.54349,1.134519588,0.035299721,44.22286162,0,1.11E-06,1.39E-07,230.392677,0,1,0,1,1
1.026326648,1.006815624,1.427138528,0.983410604,2.815711405,3.631427074,-0.016499798,2.272552445,1.97297694,0.806242766,30951.03715,1.151555994,0.035896607,125.2506074,0,6.59E-07,1.03E-07,162.1263974,0,1,0,1,1
1.010300964,1.001435858,1.418301986,0.990905347,2.815712896,3.631428194,-0.011666722,2.261393692,1.985270361,0.809869428,30465.21852,1.061827772,0.036489516,17.08320896,0,5.23E-07,9.12E-08,230.3865388,0,1,0,1,1
1.012900629,1.002293862,1.419005218,0.987640897,2.815715941,3.631428314,-0.010968684,2.265956605,1.984288646,0.808664253,30522.63914,1.137100607,0.037208953,84.599035,0,2.16E-07,8.37E-08,230.3922615,0,1,0,1,1
1.025081817,1.010424602,1.429145117,0.991695934,2.815711715,3.631420568,-0.023609059,2.258784225,1.970207002,0.810481106,30896.41392,1.126033469,0.03781126,98.4606948,0,5.03E-08,9.16E-08,230.3919799,0,1,0,1,1
-0.973006414,-0.992429058,1.392827092,0.993258753,0.815712372,3.631428465,-0.012568517,2.258922495,2.021583375,0.81095219,29351.40622,1.127667072,0.038481137,42.88593251,0,8.03E-12,8.33E-08,230.3909991,0,1,1,0,0
1.027683013,1.008402792,1.431517049,0.993141648,2.815710776,3.631425713,-0.013542027,2.259759196,1.966941838,0.810841978,30963.42393,1.148629335,0.038498741,99.40945759,0,1.02E-11,8.30E-08,226.1214567,0,1,0,1,0
0.026993586,0.007570942,0.996972658,0.993258753,1.815712372,3.631428465,-0.012568517,2.258922495,1.821229579,0.81095219,1083.829116,1.127667072,0.038481137,44.44687412,9.998027041,1.54E-12,8.33E-08,230.3909991,1,0,1,0,0
0.02694263,0.008463931,0.992974837,0.985305806,1.815716061,3.631432102,-0.018181842,2.268583112,1.828562008,0.807318847,1466.56168,1.136831926,0.035798663,93.88596415,1.862798733,6.88E-07,1.12E-07,230.3878021,1,0,1,0,1
0.031453319,0.016079007,0.996315971,0.991689086,1.815714569,3.631428591,-0.02778672,2.257791487,1.822428448,0.811221172,1531.904207,1.1412634,0.035372273,97.68506755,1.846799546,8.81E-07,1.30E-07,162.1284487,1,0,1,0,1
0.03318049,0.013826289,1.001046071,1.001025465,1.815716103,3.631425077,-0.025177507,2.245269578,1.813818719,0.815269985,1070.544891,1.145779749,0.037809451,114.7871963,1.97767071,1.99E-08,8.92E-08,230.3866886,1,0,1,0,1
0.032976693,0.017096806,0.996038688,0.991038491,1.815710331,3.631425508,-0.029317344,2.259981952,1.822936396,0.810857723,1545.690594,1.101136231,0.035379178,22.96169584,1.845764967,8.99E-07,1.31E-07,230.3879234,1,0,1,0,1
0.008215816,0.0004297,0.996410478,0.992799272,1.815716089,3.631431689,-0.005338921,2.259501715,1.82225712,0.810396532,1349.580202,0.919431204,0.036357157,-0.097490151,1.892617465,5.89E-07,1.07E-07,230.3905011,1,0,1,0,1
0.033870013,0.016012124,1.000484923,0.999856112,1.815705042,3.631420827,-0.027201968,2.248849627,1.814835729,0.814393523,1067.520211,1.147250571,0.038048768,119.3405173,1.983437353,1.16E-08,8.97E-08,230.3925931,1,0,1,0,0
-0.027205416,-0.046628061,0.996978416,0.993258753,1.761513369,3.631428465,-0.012568517,2.258922495,1.875582326,0.81095219,2568.476271,1.127667072,0.038481137,44.44687412,1.999605408,1.56E-12,8.33E-08,230.3909991,0,1,1,0,0
-0.027256373,-0.045735071,0.992983399,0.985305806,1.761517058,3.631432102,-0.018181842,2.268583112,1.883128202,0.807318847,2223.431069,1.136831926,0.035798663,93.88596415,1.862798733,6.88E-07,1.12E-07,230.3878021,0,1,1,0,1
-0.448761117,-0.472196239,1.088679743,0.983869722,1.315714733,3.631427257,-0.041524638,2.26663989,2.127083322,0.808100451,13536.51327,1.14289442,0.031580755,84.71176971,1.655259806,6.75E-06,3.23E-07,162.1284498,0,1,1,0,1
-0.022745684,-0.038119995,0.996079098,0.991689086,1.761515567,3.631428591,-0.02778672,2.257791487,1.87727363,0.811221172,2196.59475,1.1412634,0.035372273,97.68506755,1.846799546,8.81E-07,1.30E-07,162.1284487,0,1,1,0,1
-0.021018513,-0.040372714,1.000716778,1.001025465,1.7615171,3.631425077,-0.025177507,2.245269578,1.868568628,0.815269985,2542.676605,1.145779749,0.037809451,114.7871963,1.97767071,1.99E-08,8.92E-08,230.3866886,0,1,1,0,1
-0.02122231,-0.037102197,0.995718832,0.991038491,1.761511328,3.631425508,-0.029317344,2.259981952,1.877954016,0.810857723,2184.495289,1.101136231,0.035379178,22.96169584,1.845764967,8.98E-07,1.31E-07,230.3879234,0,1,1,0,1
-0.045983187,-0.053769303,0.997437113,0.992799272,1.761517086,3.631431689,-0.005338921,2.259501715,1.874719297,0.810396532,2395.699647,0.919431204,0.036357157,-0.097490151,1.892617465,5.89E-07,1.07E-07,230.3905011,0,1,1,0,1
-0.02032899,-0.038186878,1.000118079,0.999856112,1.761506039,3.631420827,-0.027201968,2.248849627,1.869694016,0.814393523,2530.782089,1.147250571,0.038048768,119.3405173,1.983437353,1.16E-08,8.97E-08,230.3925931,0,1,1,0,0
0.069821645,0.050399001,0.999049993,0.993258753,1.85854043,3.631428465,-0.012568517,2.258922495,1.860307736,0.81095219,2265.54271,1.127667072,0.038481137,44.44687412,1.999605408,1.55E-12,8.33E-08,230.3909991,0,1,1,0,0
0.069770688,0.05129199,0.995058325,0.985305806,1.858544119,3.631432102,-0.018181842,2.268583112,1.867774052,0.807318847,2725.161474,1.136831926,0.035798663,93.88596415,1.862798733,6.88E-07,1.12E-07,230.3878021,0,1,1,0,1
0.074281377,0.058907066,0.998585964,0.991689086,1.858542628,3.631428591,-0.02778672,2.257791487,1.861174396,0.811221172,2801.659535,1.1412634,0.035372273,97.68506755,1.846799546,8.81E-07,1.30E-07,162.1284487,0,1,1,0,1
