SigMean,SigMedian,SigRMS,SigVar,SigPeak,SigPeak2Peak,SigSkewness,SigKurtosis,SigCrestFactor,SigMAD,SigRangeCumSum,SigCorrDimension,SigApproxEntropy,SigLyapExponent,PeakFreq,HighFreqPower,EnvPower,PeakSpecKurtosis,No Sensor Drift,Sensor Drift,No Shaft Wear,Shaft Wear,GearToothCondition
1.023618946,1.004443099,1.429107946,0.994586797,2.815711044,3.631427095,-0.016302293,2.249104361,1.970257777,0.812840802,30989.87012,1.150298469,0.032101327,132.3214135,0,5.00E-06,2.44E-07,162.1246409,0,1,1,0,1
1.012730407,1.002666375,1.420620887,0.992573768,2.815715953,3.631428299,-0.015528429,2.254165533,1.982031927,0.811635338,30662.74306,1.132771481,0.032866522,55.02874833,0,3.62E-06,2.28E-07,230.3865919,0,1,1,0,1
1.027523036,1.009789855,1.434027707,1.000665105,2.815715901,3.631430727,-0.026425334,2.242953999,1.963501742,0.816191712,31091.25477,1.142463099,0.033410364,113.8188423,0,2.55E-06,1.69E-07,230.3934436,0,1,1,0,1
1.046433009,1.027387115,1.447999512,1.00171377,2.815709308,3.631420345,-0.042948503,2.244575215,1.944551283,0.816313439,31656.76927,1.093903165,0.034098806,10.77519919,0,1.73E-06,1.63E-07,230.3894846,0,1,1,0,1
-0.953566991,-0.972612885,1.382378584,1.00171377,0.815709308,3.631420345,-0.042948503,2.244575215,2.036859561,0.816313439,28881.48113,1.093903165,0.034098806,10.77519919,0,1.73E-06,1.63E-07,230.3894846,0,1,1,0,1
1.046183064,1.025757774,1.440651572,0.981010523,2.815715611,3.631428114,-0.036319149,2.275158793,1.954473702,0.806059815,31552.57392,1.14359973,0.035235077,113.7885979,0,1.11E-06,1.39E-07,230.3872974,0,1,1,0,1
1.026646857,1.007072395,1.427515601,0.983829662,2.815713016,3.631425293,-0.017188926,2.271941049,1.972456913,0.806441997,30949.74301,1.146899621,0.035865292,116.1288459,0,6.60E-07,1.11E-07,162.1278674,0,1,1,0,1
1.010189137,1.001376201,1.418325826,0.991198938,2.815711309,3.631424204,-0.011147286,2.261195548,1.985235873,0.80996482,30450.74513,1.145939393,0.036468287,103.4659975,0,5.24E-07,9.25E-08,230.3901026,0,1,1,0,1
1.012361032,1.00217901,1.418318503,0.986785272,2.815716103,3.631429632,-0.011382537,2.266820699,1.985249503,0.808262686,30496.27364,1.087307293,0.037232434,5.615999235,0,2.17E-07,9.75E-08,226.1216379,0,1,1,0,1
1.024626706,1.01042196,1.428594253,0.991054543,2.81571023,3.631419193,-0.023777093,2.25979921,1.970965671,0.810167974,30872.45905,1.136212486,0.037835147,70.18812678,0,5.04E-08,9.16E-08,226.1211588,0,1,1,0,1
1.026993586,1.007570942,1.43106312,0.993258753,2.815712372,3.631428465,-0.012568517,2.258922495,1.967566862,0.81095219,30978.59378,1.127667072,0.038481137,42.88593251,0,7.97E-12,8.33E-08,230.3909991,0,1,1,0,0
-0.949771359,-0.973304435,1.37365978,0.984908259,0.815713297,3.631428166,-0.041620002,2.265830662,2.049790574,0.80852877,28604.19191,1.147927218,0.031564831,126.1050685,0,6.74E-06,2.85E-07,162.1258603,0,1,0,1,1
-0.977307696,-0.99550746,1.396650127,0.99553429,0.815708502,3.63142414,-0.01635638,2.248298561,2.016049391,0.813242927,29442.23202,1.147173176,0.032088444,113.540353,0,4.99E-06,2.40E-07,162.1276915,0,1,0,1,1
-0.987696671,-0.997634288,1.402796682,0.992326739,0.815716099,3.631431887,-0.014700557,2.254228778,2.007215888,0.811555822,29769.52671,1.146859447,0.032869741,108.8568488,0,3.62E-06,2.28E-07,230.3912261,0,1,0,1,1
-0.972505309,-0.989846749,1.39494718,1.00014426,0.815716104,3.631432159,-0.026590041,2.243921616,2.018510876,0.815886566,29421.2165,1.098461111,0.033426809,65.04737849,0,2.55E-06,1.65E-07,230.3906685,0,1,0,1,1
-0.953816936,-0.974242226,1.375043524,0.981010523,0.815715611,3.631428114,-0.036319149,2.275158793,2.047726093,0.806059815,28720.47889,1.14359973,0.035235077,113.8010216,0,1.11E-06,1.39E-07,230.3872974,0,1,1,0,1
-0.953641496,-0.972533203,1.382223754,1.001143597,0.815706679,3.631421772,-0.042849219,2.245549007,2.037090656,0.815946459,28883.85253,1.141704413,0.034159397,99.89829781,0,1.73E-06,1.55E-07,230.3869567,0,1,0,1,1
-0.954111915,-0.974288903,1.375050694,0.980467411,0.815714696,3.63142102,-0.035405143,2.275683199,2.047710922,0.805832955,28739.86413,1.134519588,0.035299721,44.29051477,0,1.11E-06,1.39E-07,230.392677,0,1,0,1,1
-0.973673352,-0.993184376,1.389754577,0.983410604,0.815711405,3.631427074,-0.016499798,2.272552445,2.026052452,0.806242766,29355.89729,1.151555994,0.035896607,125.2971364,0,6.59E-07,1.03E-07,162.1263974,0,1,0,1,1
-0.989699036,-0.998564142,1.403701061,0.990905347,0.815712896,3.631428194,-0.011666722,2.261393692,2.005922326,0.809869428,29842.78148,1.061827772,0.036489516,17.08320896,0,5.24E-07,9.12E-08,230.3865388,0,1,0,1,1
-0.987099371,-0.997706138,1.40070457,0.987640897,0.815715941,3.631428314,-0.010968684,2.265956605,2.010211456,0.808664253,29808.70542,1.137100607,0.037208953,84.63891801,0,2.17E-07,8.37E-08,230.3922615,0,1,0,1,1
-0.974918183,-0.989575398,1.393602704,0.991695934,0.815711715,3.631420568,-0.023609059,2.258784225,2.020453064,0.810481106,29422.51934,1.126033469,0.03781126,98.39208289,0,5.07E-08,9.16E-08,230.3919799,0,1,0,1,1
-0.972316987,-0.991597208,1.392303491,0.993141648,0.815710776,3.631425713,-0.013542027,2.259759196,2.022342797,0.810841978,29296.57607,1.148629335,0.038498741,101.4313178,0,1.02E-11,8.30E-08,226.1214567,0,1,0,1,0
-0.449771359,-0.473304435,1.089573234,0.984908259,1.315713297,3.631428166,-0.041620002,2.265830662,2.125341185,0.80852877,13545.69191,1.147927218,0.031564831,131.8610915,1.656032227,6.74E-06,2.85E-07,162.1258603,0,1,0,1,1
-0.477307696,-0.49550746,1.106039729,0.99553429,1.315708502,3.63142414,-0.01635638,2.248298561,2.093700233,0.813242927,14379.23202,1.147173176,0.032088444,118.6989652,1.691981031,4.99E-06,2.40E-07,162.1276915,0,1,0,1,1
-0.487696671,-0.497634288,1.109117605,0.992326739,1.315716099,3.631431887,-0.014700557,2.254228778,2.08789021,0.811555822,14699.02671,1.146859447,0.032869741,111.5463242,1.726887903,3.62E-06,2.28E-07,230.3912261,0,1,0,1,1
-0.973353143,-0.992927605,1.389681029,0.983829662,0.815713016,3.631425293,-0.017188926,2.271941049,2.026157239,0.806441997,29335.52452,1.146899621,0.035865292,116.5262728,0,6.60E-07,1.11E-07,162.1278674,0,1,1,0,1
-0.472505309,-0.489846749,1.106061629,1.00014426,1.315716104,3.631432159,-0.026590041,2.243921616,2.093659155,0.815886566,14581.71225,1.098461111,0.033426809,67.97082592,1.76236156,2.55E-06,1.65E-07,230.3906685,0,1,0,1,1
-0.453641496,-0.472533203,1.098590465,1.001143597,1.315706679,3.631421772,-0.042849219,2.245549007,2.107896588,0.815946459,14293.23431,1.141704413,0.034159397,104.8266295,1.797413659,1.73E-06,1.55E-07,230.3869567,0,1,0,1,1
-0.454111915,-0.474288903,1.089335805,0.980467411,1.315714696,3.63142102,-0.035405143,2.275683199,2.125796576,0.805832955,13957.2226,1.134519588,0.035299721,46.2597599,1.831028746,1.11E-06,1.39E-07,230.392677,0,1,0,1,1
-0.473673352,-0.493184376,1.098974264,0.983410604,1.315711405,3.631427074,-0.016499798,2.272552445,2.107160963,0.806242766,14431.02452,1.151555994,0.035896607,130.3108756,1.86585652,6.59E-07,1.03E-07,162.1263974,0,1,0,1,1
-0.489699036,-0.498564142,1.109359109,0.990905347,1.315712896,3.631428194,-0.011666722,2.261393692,2.08743524,0.809869428,15029.01121,1.061827772,0.036489516,17.37020623,1.898869093,5.24E-07,9.12E-08,230.3865388,0,1,0,1,1
-0.487099371,-0.497706138,1.106740223,0.987640897,1.315715941,3.631428314,-0.010968684,2.265956605,2.092372108,0.808664253,15105.77954,1.137100607,0.037208953,89.25064722,1.933150243,2.17E-07,8.37E-08,230.3922615,0,1,0,1,1
-0.474918183,-0.489575398,1.103272547,0.991695934,1.315711715,3.631420568,-0.023609059,2.258784225,2.098945414,0.810481106,14940.72556,1.126033469,0.03781126,102.1584529,1.966382515,5.06E-08,9.16E-08,230.3919799,0,1,0,1,1
-0.472316987,-0.491597208,1.102810965,0.993141648,1.315710776,3.631425713,-0.013542027,2.259759196,2.099829445,0.810841978,14759.78675,1.148629335,0.038498741,104.9455627,2.00074444,4.25E-12,8.30E-08,226.1214567,0,1,0,1,0
0.050228641,0.026695565,0.993679261,0.984908259,1.815713297,3.631428166,-0.041620002,2.265830662,1.827264531,0.80852877,2373.846525,1.147927218,0.031564831,131.7879907,1.656032227,6.74E-06,2.85E-07,162.1258603,1,0,0,1,1
0.022692304,0.00449254,0.998006105,0.99553429,1.815708502,3.63142414,-0.01635638,2.248298561,1.819343217,0.813242927,2171.124822,1.147173176,0.032088444,118.7510679,1.691981031,4.99E-06,2.40E-07,162.1276915,1,0,0,1,1
-0.989810863,-0.998623799,1.403884469,0.991198938,0.815711309,3.631424204,-0.011147286,2.261195548,2.005658555,0.80996482,29835.25487,1.145939393,0.036468287,103.4659975,0,5.25E-07,9.25E-08,230.3901026,0,1,1,0,1
0.012303329,0.002365712,0.996215433,0.992326739,1.815716099,3.631431887,-0.014700557,2.254228778,1.822613903,0.811555822,2000.034347,1.146859447,0.032869741,114.0611586,1.726887903,3.62E-06,2.28E-07,230.3912261,1,0,0,1,1
0.027494691,0.010153251,1.000433415,1.00014426,1.815716104,3.631432159,-0.026590041,2.243921616,1.814929487,0.815886566,1836.784251,1.098461111,0.033426809,68.00594124,1.76236156,2.55E-06,1.65E-07,230.3906685,1,0,0,1,1
0.046358504,0.027466797,1.001628431,1.001143597,1.815706679,3.631421772,-0.042849219,2.245549007,1.812763133,0.815946459,1740.430102,1.141704413,0.034159397,104.9012049,1.797413659,1.73E-06,1.55E-07,230.3869567,1,0,0,1,1
0.045888085,0.025711097,0.99123185,0.980467411,1.815714696,3.63142102,-0.035405143,2.275683199,1.831775982,0.805832955,1600.678894,1.134519588,0.035299721,46.2597599,1.831028746,1.11E-06,1.39E-07,230.392677,1,0,0,1,1
0.026326648,0.006815624,0.992003569,0.983410604,1.815711405,3.631427074,-0.016499798,2.272552445,1.830351952,0.806242766,1455.305813,1.151555994,0.035896607,130.764297,1.86585652,6.59E-07,1.03E-07,162.1263974,1,0,0,1,1
0.010300964,0.001435858,0.995479079,0.990905347,1.815712896,3.631428194,-0.011666722,2.261393692,1.823961283,0.809869428,1330.287818,1.061827772,0.036489516,17.3727844,1.898869093,5.23E-07,9.12E-08,230.3865388,1,0,0,1,1
0.012900629,0.002293862,0.993868477,0.987640897,1.815715941,3.631428314,-0.010968684,2.265956605,1.82691773,0.808664253,1223.101315,1.137100607,0.037208953,90.02570475,1.933150243,2.16E-07,8.37E-08,230.3922615,1,0,0,1,1
0.025081817,0.010424602,0.99613861,0.991695934,1.815711715,3.631420568,-0.023609059,2.258784225,1.822750063,0.810481106,1113.789973,1.126033469,0.03781126,102.738316,1.966382515,5.05E-08,9.16E-08,230.3919799,1,0,0,1,1
